Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Opel Ampera-e ,7.3,150 km/h,335 km,173 Wh/km,210 km/h,Front Wheel Drive,5,"42,990",N/A
Renault Kangoo Maxi ZE 33,22.4,130 km/h,160 km,194 Wh/km,NA,Front Wheel Drive,5,N/A,"31,680"
Nissan Leaf ,7.9,144 km/h,220 km,164 Wh/km,230 km/h,Front Wheel Drive,5,"29,990","25,995"
Audi e-tron Sportback 55 quattro,5.7,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,N/A,"79,900"
Porsche Taycan Turbo S,2.8,260 km/h,390 km,215 Wh/km,860 km/h,All Wheel Drive,4,"1,86,336","1,38,830"
Nissan e-NV200 Evalia ,14,123 km/h,165 km,218 Wh/km,170 km/h,Front Wheel Drive,7,"43,433","30,255"
Volkswagen ID.3 Pure Performance,8.9,160 km/h,275 km,164 Wh/km,260 km/h,Rear Wheel Drive,5,"31,960","27,120"
BMW iX3 ,6.8,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"66,300","58,850"
Nissan Leaf e+,7.3,157 km/h,325 km,172 Wh/km,390 km/h,Front Wheel Drive,5,"38,350","30,445"
BMW i3 120 Ah,7.3,150 km/h,235 km,161 Wh/km,270 km/h,Rear Wheel Drive,4,"39,000","31,305"
Mercedes EQA 250,8.9,160 km/h,355 km,187 Wh/km,420 km/h,Front Wheel Drive,5,"47,541","43,495"
DS 3 Crossback E-Tense,8.7,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"30,040","31,500"
BMW i3s 120 Ah,6.9,160 km/h,230 km,165 Wh/km,260 km/h,Rear Wheel Drive,4,"42,600","32,305"
Sono Sion ,9,140 km/h,260 km,181 Wh/km,310 km/h,Front Wheel Drive,5,"25,500",N/A
Audi e-tron GT RS,3.3,250 km/h,405 km,210 Wh/km,810 km/h,All Wheel Drive,4,"1,38,200","1,10,950"
Kia e-Soul 64 kWh,7.9,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,N/A,"37,545"
Renault Zoe ZE50 R110,11.4,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,"31,990","26,795"
Hyundai IONIQ Electric,9.7,165 km/h,250 km,153 Wh/km,220 km/h,Front Wheel Drive,5,"35,350","30,550"
Lightyear One ,10,150 km/h,575 km,104 Wh/km,540 km/h,All Wheel Drive,5,"1,49,000",N/A
Tesla Roadster ,2.1,410 km/h,970 km,206 Wh/km,920 km/h,All Wheel Drive,4,"2,15,000","1,89,000"
Peugeot e-208 ,8.1,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"30,450","27,225"
Honda e ,9,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"33,850","27,660"
CUPRA Born 110 kW - 55 kWh,8.9,160 km/h,275 km,164 Wh/km,440 km/h,Rear Wheel Drive,5,"32,700","28,500"
Audi Q4 e-tron 35,9,160 km/h,280 km,184 Wh/km,390 km/h,Rear Wheel Drive,5,"41,900","40,750"
Tesla Model Y Long Range Dual Motor,5.1,217 km/h,450 km,169 Wh/km,750 km/h,All Wheel Drive,7,"59,965","54,000"
Tesla Model Y Performance,3.7,241 km/h,430 km,177 Wh/km,720 km/h,All Wheel Drive,7,"66,965","60,000"
Porsche Taycan 4 Cross Turismo,5.1,220 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"93,635","79,340"
Skoda Enyaq iV 50,11.3,160 km/h,295 km,176 Wh/km,240 km/h,Rear Wheel Drive,5,"33,800",N/A
Volkswagen e-Up! ,11.9,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,N/A,N/A
SEAT Mii Electric ,12.3,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,"24,650",N/A
Opel Corsa-e ,8.1,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,"29,000","27,140"
MG ZS EV,8.2,140 km/h,220 km,193 Wh/km,260 km/h,Front Wheel Drive,5,"31,990","25,995"
Volkswagen ID.3 Pro,9.6,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"34,995","28,420"
Volkswagen ID.3 Pro S,7.9,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,4,"41,995","38,800"
Hyundai Kona Electric 64 kWh,7.9,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"41,850",N/A
Renault Zoe ZE50 R135,9.5,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"33,990","28,795"
Peugeot e-2008 SUV ,8.5,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"35,450","30,730"
Audi e-tron 50 quattro,6.8,190 km/h,280 km,231 Wh/km,470 km/h,All Wheel Drive,5,"69,100","60,600"
Porsche Taycan Turbo,3.2,260 km/h,400 km,209 Wh/km,840 km/h,All Wheel Drive,4,"1,53,016","1,15,860"
Smart EQ fortwo coupe,11.6,130 km/h,100 km,167 Wh/km,NA,Rear Wheel Drive,2,"18,460","19,200"
Smart EQ fortwo cabrio,11.9,130 km/h,95 km,176 Wh/km,NA,Rear Wheel Drive,2,"21,720","21,620"
Smart EQ forfour ,12.7,130 km/h,95 km,176 Wh/km,NA,Rear Wheel Drive,4,"19,120","19,795"
Honda e Advance,8.3,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"38,000","30,160"
Byton M-Byte 72 kWh 2WD,7.5,190 km/h,325 km,222 Wh/km,420 km/h,Rear Wheel Drive,5,"53,500","50,000"
Byton M-Byte 95 kWh 4WD,5.5,190 km/h,390 km,244 Wh/km,460 km/h,All Wheel Drive,5,"64,000","60,000"
Renault Zoe ZE40 R110,11.4,135 km/h,255 km,161 Wh/km,230 km/h,Front Wheel Drive,5,"29,990",N/A
Porsche Taycan 4S,4,250 km/h,375 km,189 Wh/km,750 km/h,All Wheel Drive,4,"1,06,487","83,580"
Porsche Taycan 4S Plus,4,250 km/h,435 km,192 Wh/km,910 km/h,All Wheel Drive,4,"1,13,008","88,193"
Hyundai Kona Electric 39 kWh,9.9,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5,"34,850",N/A
Mercedes EQV 300 Long,12.1,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"71,388","70,665"
Mazda MX-30 ,9.7,140 km/h,170 km,176 Wh/km,180 km/h,Front Wheel Drive,5,"34,490","26,045"
Ford Mustang Mach-E SR RWD,6.9,180 km/h,345 km,197 Wh/km,380 km/h,Rear Wheel Drive,5,"46,900","41,330"
Ford Mustang Mach-E ER RWD,7,180 km/h,440 km,200 Wh/km,430 km/h,Rear Wheel Drive,5,"54,475","49,980"
